,close
2021-06-16,2415.45
2021-06-15,2428.39
2021-06-14,2448.91
2021-06-11,2430.2
2021-06-10,2435.13
2021-06-09,2407.94
2021-06-08,2398.44
2021-06-07,2402.3
2021-06-04,2393.57
2021-06-03,2347.58
2021-06-02,2370.59
2021-06-01,2381.18
2021-05-28,2356.85
2021-05-27,2362.68
2021-05-26,2380.31
2021-05-25,2362.87
2021-05-24,2361.04
2021-05-21,2294.13
2021-05-20,2306.95
2021-05-19,2271.5
2021-05-18,2262.47
2021-05-17,2288.92
2021-05-14,2278.38
2021-05-13,2229.04
2021-05-12,2200.25
2021-05-11,2270.06
2021-05-10,2291.75
2021-05-07,2351.93
2021-05-06,2337.35
2021-05-05,2314.77
2021-05-04,2306.83
2021-05-03,2343.08
2021-04-30,2353.5
2021-04-29,2392.76
2021-04-28,2359.04
2021-04-27,2290.98
2021-04-26,2309.93
2021-04-23,2299.93
2021-04-22,2252.52
2021-04-21,2278.35
2021-04-20,2279.01
2021-04-19,2289.76
2021-04-16,2282.75
2021-04-15,2285.25
2021-04-14,2241.91
2021-04-13,2254.43
2021-04-12,2244.62
2021-04-09,2270.67
2021-04-08,2250.43
2021-04-07,2239.03
2021-04-06,2209.26
2021-04-05,2218.96
2021-04-01,2129.78
2021-03-31,2062.52
2021-03-30,2046.47
2021-03-29,2045.79
2021-03-26,2024.73
2021-03-25,2032.46
2021-03-24,2032.53
2021-03-23,2041.33
2021-03-22,2030.69
2021-03-19,2026.96
2021-03-18,2021.34
2021-03-17,2082.22
2021-03-16,2083.89
2021-03-15,2054.44
2021-03-12,2050.0
2021-03-11,2100.54
2021-03-10,2036.19
2021-03-09,2040.36
2021-03-08,2007.5
2021-03-05,2097.07
2021-03-04,2033.93
2021-03-03,2011.41
2021-03-02,2064.48
2021-03-01,2069.66
2021-02-26,2021.91
2021-02-25,2015.95
2021-02-24,2083.81
2021-02-23,2060.12
2021-02-22,2054.26
2021-02-19,2088.81
2021-02-18,2105.81
2021-02-17,2118.62
2021-02-16,2110.7
2021-02-12,2095.03
2021-02-11,2088.75
2021-02-10,2086.48
2021-02-09,2075.39
2021-02-08,2084.52
2021-02-05,2088.83
2021-02-04,2053.63
